,Date Time,Tick Number,Open,High,Low,Close,Cumulative Volume,Cumulative Buy Volume,Cumulative Sell Volume,Cumulative Ticks,Cumulative Dollar Value,Threshold,VPIN
5191,2023/01/18 09:03:42.000,338729,14480.0,14490.0,14410.0,14490.0,1041683.0,726185.0,315498.0,65,15080013940.0,1000000,0.39425333810765845
5192,2023/01/18 09:05:23.000,338788,14490.0,14620.0,14470.0,14530.0,1064599.0,400789.0,663810.0,59,15438112430.0,1000000,0.24706110000103326
5193,2023/01/18 09:06:38.000,338855,14530.0,14560.0,14510.0,14560.0,1012602.0,540806.0,471796.0,67,14725969640.0,1000000,0.06815115909310865
5194,2023/01/18 09:07:39.000,338912,14560.0,14640.0,14560.0,14640.0,1024187.0,612042.0,412145.0,57,14954421860.0,1000000,0.19517627152072814
5195,2023/01/18 09:08:18.000,338963,14640.0,14650.0,14610.0,14610.0,1004865.0,525730.0,479135.0,51,14703665700.0,1000000,0.046369412806695424
5196,2023/01/18 09:10:20.000,339032,14600.0,14610.0,14540.0,14540.0,1006546.0,258141.0,748405.0,69,14666388510.0,1000000,0.4870756031020937
5197,2023/01/18 09:12:49.000,339130,14550.0,14550.0,14470.0,14500.0,1012672.0,275213.0,737459.0,98,14693466560.0,1000000,0.45646171712064715
5198,2023/01/18 09:13:53.000,339176,14500.0,14550.0,14490.0,14550.0,1004750.0,678366.0,326384.0,46,14591213550.0,1000000,0.3503179895496392
5199,2023/01/18 09:15:29.000,339239,14520.0,14640.0,14520.0,14630.0,1003267.0,763978.0,239289.0,63,14634681100.0,1000000,0.5229804229581956
5200,2023/01/18 09:16:34.000,339298,14640.0,14650.0,14600.0,14620.0,1013977.0,298784.0,715193.0,59,14835877600.0,1000000,0.4106690782927029
5201,2023/01/18 09:18:29.000,339351,14620.0,14630.0,14590.0,14610.0,1059500.0,364507.0,694993.0,53,15477499060.0,1000000,0.31192638036809817
5202,2023/01/18 09:19:22.000,339392,14600.0,14660.0,14600.0,14660.0,1034349.0,815865.0,218484.0,41,15132860160.0,1000000,0.5775429763068365
5203,2023/01/18 09:19:43.000,339432,14670.0,14700.0,14670.0,14700.0,1002163.0,1002163.0,0.0,40,14721470420.0,1000000,1.0
5204,2023/01/18 09:20:45.000,339491,14700.0,14740.0,14690.0,14690.0,1001381.0,496534.0,504847.0,59,14745825690.0,1000000,0.008301535579364897
5205,2023/01/18 09:23:09.000,339566,14710.0,14720.0,14670.0,14680.0,1045035.0,568671.0,476364.0,75,15353294030.0,1000000,0.08832909902539149
5206,2023/01/18 09:24:44.000,339625,14700.0,14730.0,14700.0,14730.0,1067877.0,1016259.0,51618.0,59,15718090910.0,1000000,0.9033259448419622
5207,2023/01/18 09:25:16.000,339672,14730.0,14750.0,14720.0,14750.0,1006869.0,888300.0,118569.0,47,14841495600.0,1000000,0.7644797883339342
5208,2023/01/18 09:25:40.000,339719,14750.0,14800.0,14750.0,14800.0,1024401.0,705737.0,318664.0,47,15132162470.0,1000000,0.3778530087338845
5209,2023/01/18 09:26:03.000,339755,14800.0,14800.0,14750.0,14750.0,1082182.0,437964.0,644218.0,36,15993934950.0,1000000,0.19059086179589016
5210,2023/01/18 09:26:38.000,339795,14760.0,14800.0,14760.0,14790.0,1043983.0,754803.0,289180.0,40,15438905250.0,1000000,0.4460063047003639
5211,2023/01/18 09:27:33.000,339863,14800.0,14840.0,14800.0,14820.0,1003396.0,839583.0,163813.0,68,14867416740.0,1000000,0.673482852233814
5212,2023/01/18 09:29:42.000,339943,14820.0,14830.0,14750.0,14830.0,1011015.0,526288.0,484727.0,80,14971808150.0,1000000,0.04110819325133653
5213,2023/01/18 09:30:13.000,339994,14830.0,14860.0,14830.0,14830.0,1005986.0,739861.0,266125.0,51,14930348820.0,1000000,0.4709170902974793
5214,2023/01/18 09:31:04.000,340048,14830.0,14870.0,14770.0,14800.0,1047223.0,373102.0,674121.0,54,15516974990.0,1000000,0.2874449854520002
